"Facility ID","Facility Name","Address","City","State","ZIP Code","County Name","Phone Number","Measure ID","Measure Name","Measure Response","Footnote","Start Date","End Date"
010001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,(334) 793-8701,OP_12,Able to receive lab results electronically,Yes,,01/01/2018,12/31/2018
010001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,(334) 793-8701,OP_17,"Able to track patients' lab results, tests, and referrals electronically between visits",Yes,,01/01/2018,12/31/2018
010005,MARSHALL MEDICAL CENTERS,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957,MARSHALL,(256) 593-8310,OP_12,Able to receive lab results electronically,Yes,,01/01/2018,12/31/2018
010005,MARSHALL MEDICAL CENTERS,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957,MARSHALL,(256) 593-8310,OP_17,"Able to track patients' lab results, tests, and referrals electronically between visits",Yes,,01/01/2018,12/31/2018
010006,NORTH ALABAMA MEDICAL CENTER,1701 VETERANS DRIVE,FLORENCE,AL,35630,LAUDERDALE,(256) 768-8400,OP_12,Able to receive lab results electronically,Yes,,01/01/2018,12/31/2018
010006,NORTH ALABAMA MEDICAL CENTER,1701 VETERANS DRIVE,FLORENCE,AL,35630,LAUDERDALE,(256) 768-8400,OP_17,"Able to track patients' lab results, tests, and referrals electronically between visits",Yes,,01/01/2018,12/31/2018
010007,MIZELL MEMORIAL HOSPITAL,702 N MAIN ST,OPP,AL,36467,COVINGTON,(334) 493-3541,OP_12,Able to receive lab results electronically,Yes,,01/01/2018,12/31/2018
010007,MIZELL MEMORIAL HOSPITAL,702 N MAIN ST,OPP,AL,36467,COVINGTON,(334) 493-3541,OP_17,"Able to track patients' lab results, tests, and referrals electronically between visits",Yes,,01/01/2018,12/31/2018
010008,CRENSHAW COMMUNITY HOSPITAL,101 HOSPITAL CIRCLE,LUVERNE,AL,36049,CRENSHAW,(334) 335-3374,OP_12,Able to receive lab results electronically,No,,01/01/2018,12/31/2018
010008,CRENSHAW COMMUNITY HOSPITAL,101 HOSPITAL CIRCLE,LUVERNE,AL,36049,CRENSHAW,(334) 335-3374,OP_17,"Able to track patients' lab results, tests, and referrals electronically between visits",Yes,,01/01/2018,12/31/2018
010011,ST. VINCENT'S EAST,50 MEDICAL PARK EAST DRIVE,BIRMINGHAM,AL,35235,JEFFERSON,(205) 838-3122,OP_12,Able to receive lab results electronically,Yes,,01/01/2018,12/31/2018
010011,ST. VINCENT'S EAST,50 MEDICAL PARK EAST DRIVE,BIRMINGHAM,AL,35235,JEFFERSON,(205) 838-3122,OP_17,"Able to track patients' lab results, tests, and referrals electronically between visits",Yes,,01/01/2018,12/31/2018
010012,DEKALB REGIONAL MEDICAL CENTER,200 MED CENTER DRIVE,FORT PAYNE,AL,35968,DE KALB,(256) 845-3150,OP_12,Able to receive lab results electronically,Yes,,01/01/2018,12/31/2018
010012,DEKALB REGIONAL MEDICAL CENTER,200 MED CENTER DRIVE,FORT PAYNE,AL,35968,DE KALB,(256) 845-3150,OP_17,"Able to track patients' lab results, tests, and referrals electronically between visits",Yes,,01/01/2018,12/31/2018
010016,SHELBY BAPTIST MEDICAL CENTER,1000 FIRST STREET NORTH,ALABASTER,AL,35007,SHELBY,(205) 620-8100,OP_12,Able to receive lab results electronically,Yes,,01/01/2018,12/31/2018
010016,SHELBY BAPTIST MEDICAL CENTER,1000 FIRST STREET NORTH,ALABASTER,AL,35007,SHELBY,(205) 620-8100,OP_17,"Able to track patients' lab results, tests, and referrals electronically between visits",Yes,,01/01/2018,12/31/2018
010018,CALLAHAN EYE HOSPITAL,"1720 UNIVERSITY BLVD, SUITE 500",BIRMINGHAM,AL,35233,JEFFERSON,(205) 325-8100,OP_12,Able to receive lab results electronically,No,,01/01/2018,12/31/2018
010018,CALLAHAN EYE HOSPITAL,"1720 UNIVERSITY BLVD, SUITE 500",BIRMINGHAM,AL,35233,JEFFERSON,(205) 325-8100,OP_17,"Able to track patients' lab results, tests, and referrals electronically between visits",No,,01/01/2018,12/31/2018
010019,HELEN KELLER HOSPITAL,1300 SOUTH MONTGOMERY AVENUE,SHEFFIELD,AL,35660,COLBERT,(256) 386-4556,OP_12,Able to receive lab results electronically,Yes,,01/01/2018,12/31/2018
010019,HELEN KELLER HOSPITAL,1300 SOUTH MONTGOMERY AVENUE,SHEFFIELD,AL,35660,COLBERT,(256) 386-4556,OP_17,"Able to track patients' lab results, tests, and referrals electronically between visits",Yes,,01/01/2018,12/31/2018
010021,DALE MEDICAL CENTER,126 HOSPITAL AVE,OZARK,AL,36360,DALE,(334) 774-2601,OP_12,Able to receive lab results electronically,Yes,,01/01/2018,12/31/2018
010021,DALE MEDICAL CENTER,126 HOSPITAL AVE,OZARK,AL,36360,DALE,(334) 774-2601,OP_17,"Able to track patients' lab results, tests, and referrals electronically between visits",Yes,,01/01/2018,12/31/2018
010022,CHEROKEE MEDICAL CENTER,400 NORTHWOOD DR,CENTRE,AL,35960,CHEROKEE,(256) 927-5531,OP_12,Able to receive lab results electronically,Yes,,01/01/2018,12/31/2018
010022,CHEROKEE MEDICAL CENTER,400 NORTHWOOD DR,CENTRE,AL,35960,CHEROKEE,(256) 927-5531,OP_17,"Able to track patients' lab results, tests, and referrals electronically between visits",No,,01/01/2018,12/31/2018
010023,BAPTIST MEDICAL CENTER SOUTH,2105 EAST SOUTH BOULEVARD,MONTGOMERY,AL,36116,MONTGOMERY,(334) 288-2100,OP_12,Able to receive lab results electronically,Yes,,01/01/2018,12/31/2018
010023,BAPTIST MEDICAL CENTER SOUTH,2105 EAST SOUTH BOULEVARD,MONTGOMERY,AL,36116,MONTGOMERY,(334) 288-2100,OP_17,"Able to track patients' lab results, tests, and referrals electronically between visits",Yes,,01/01/2018,12/31/2018
