incidentnum,rep_date,begin,end,nibrs_code,nibrs_group,nibrs_crimeagainst,nibrs_crime_category,order,premise,weaponused,address,lat,lon
050583-2025,2025/04/11 16:04,2025/04/11 15:04,2025/04/11 16:04,999,C,"PERSON, PROPERTY, OR SOCIETY",TRAFFIC VIOLATION - HAZARDOUS,1.0,"Highway, Street, Alley ETC",,9500 MIDWAY RD,32.86889,-96.83817
033302-2025,2025/03/08 18:03,2025/03/08 04:03,2025/03/08 06:03,23F,A,PROPERTY,LARCENY/ THEFT OFFENSES,1.0,Hotel/Motel/ETC,,7815 L B J FWY,32.92531,-96.77214
004840-2025,2025/01/11 20:01,2025/01/11 19:01,2025/01/11 19:01,999,C,MISCELLANEOUS,MISCELLANEOUS,1.0,Outdoor Area Public/Private,,2915 TALISMAN DR,32.90186,-96.88077
017023-2025,2025/02/05 21:02,2025/02/05 21:02,2025/02/05 21:02,35A,A,SOCIETY,DRUG/ NARCOTIC VIOLATIONS,1.0,Airport - Love Field,,7201 LEMMON AVE,32.84491,-96.83524
804364-2025,2025/02/27 19:02,2025/02/26 18:02,2025/02/26 18:02,90Z,B,"PERSON, PROPERTY, OR SOCIETY",ALL OTHER OFFENSES,1.0,Parking (Business),,6025 ROYAL LN,32.89605,-96.80246
043232-2025,2025/03/28 09:03,2025/03/28 09:03,2025/03/28 09:03,999,C,MISCELLANEOUS,MISCELLANEOUS,1.0,"Highway, Street, Alley ETC",,8201 SCYENE RD,32.76383,-96.67975
000974-2025,2025/01/03 00:01,2025/01/02 17:01,2025/01/03 00:01,999,C,MISCELLANEOUS,MISCELLANEOUS,1.0,"Highway, Street, Alley ETC",,3100 TREZEVANT ST,32.77328,-96.76608
049280-2025,2025/04/09 07:04,2025/04/08 19:04,2025/04/09 07:04,240,A,PROPERTY,MOTOR VEHICLE THEFT,1.0,Single Family Residence - Occupied,,3004 TALISMAN DR,32.90301,-96.87773
805546-2025,2025/03/14 17:03,2025/03/11 16:03,2025/03/14 16:03,999,C,MISCELLANEOUS,MISCELLANEOUS,1.0,Auto Dealership New/Used,,11400 N CENTRAL EXPY,32.90235,-96.76776
003079-2025,2025/01/07 12:01,2024/12/31 10:12,2024/12/31 11:12,26B,A,PROPERTY,FRAUD OFFENSES,1.0,Restaurant/Food Service/TABC Location,,17194 PRESTON RD,32.983631,-96.802791
802837-2025,2025/02/07 20:02,2025/02/07 15:02,2025/02/07 16:02,90Z,B,"PERSON, PROPERTY, OR SOCIETY",ALL OTHER OFFENSES,1.0,Parking Lot (All Others),,1200 ROSS AVE,32.78336,-96.8035
048048-2025,2025/04/06 16:04,2025/04/06 16:04,2025/04/06 16:04,999,C,MISCELLANEOUS,MISCELLANEOUS,1.0,"Highway, Street, Alley ETC",,9760 CALLE DEL ORO LN,32.6983,-96.65335
047659-2025,2025/04/05 21:04,2025/04/05 20:04,2025/04/05 21:04,23H,A,PROPERTY,LARCENY/ THEFT OFFENSES,1.0,Shelter - Mission/Homeless,,1818 CORSICANA ST,32.77606,-96.79189
003894-2025,2025/01/09 09:01,2025/01/09 05:01,2025/01/09 05:01,23H,A,PROPERTY,LARCENY/ THEFT OFFENSES,1.0,Apartment Complex/Building,,1222 COMMERCE ST,32.77951,-96.80085
023536-2025,2025/02/19 10:02,2025/02/18 21:02,2025/02/19 10:02,240,A,PROPERTY,MOTOR VEHICLE THEFT,2.0,Condominium/Townhome Residence,,9910 ROYAL LN,32.89373,-96.72409
