ID,SeriousScore,Date
1,22,1962-09-01
2,1,1959-09-03
2,1,1959-11-12
2,100,1960-03-16
2,19,1960-05-12
2,1,1960-07-27
2,1,1960-08-16
2,200,1961-03-12
2,22,1961-04-20
2,400,1962-03-28
2,400,1962-05-01
3,1,1961-03-05
3,1,1962-10-30
4,600,1961-04-16
5,1,1959-02-22
6,1,1962-03-04
7,19,1962-03-21
8,100,1962-11-12
9,40,1963-03-22
10,200,1956-11-20
10,200,1958-07-10
10,1,1959-11-05
10,1,1960-06-15
10,300,1961-02-21
10,834,1962-04-03
11,100,1962-04-12
12,100,1961-09-24
12,1,1961-11-17
12,353,1962-08-08
12,19,1962-09-28
12,1,1962-11-17
13,33,1962-02-21
14,353,1959-10-10
14,200,1961-05-27
14,400,1962-03-15
15,1,1959-11-22
16,1,1955-08-31
16,300,1957-03-25
16,1,1961-08-23
16,1,1962-08-09
17,30,1959-01-29
18,200,1957-09-26
18,300,1960-04-12
18,200,1960-05-07
18,100,1960-10-05
18,114,1961-06-22
18,1,1961-10-29
18,400,1962-06-27
18,19,1962-09-05
18,20,1962-09-28
18,200,1962-11-12
18,19,1963-05-08
18,74,1963-07-09
19,1,1959-03-06
19,200,1960-02-05
19,400,1960-11-20
19,300,1961-10-15
19,200,1962-01-02
20,100,1963-07-23
21,19,1961-03-24
22,40,1962-03-21
23,131,1961-03-20
23,1,1961-04-03
23,1,1961-05-27
24,200,1957-09-30
24,300,1961-04-09
24,74,1962-09-23
25,100,1959-08-22
26,1,1958-12-02
26,30,1960-06-19
26,1,1961-05-03
26,400,1962-10-06
26,3000,1963-05-05
27,1,1961-05-14
28,19,1959-10-30
29,300,1960-09-07
29,240,1960-11-28
30,200,1961-06-11
31,357,1960-08-12
31,400,1960-11-11
32,22,1960-09-21
32,114,1961-04-07
32,19,1963-07-16
33,19,1961-08-23
33,114,1962-03-01
33,22,1962-09-18
34,100,1954-07-22
34,200,1956-04-08
34,1,1957-03-30
34,1,1957-04-20
34,131,1960-11-19
34,200,1961-04-28
34,200,1961-07-14
34,200,1961-10-07
34,131,1961-10-14
34,200,1961-10-25
35,1,1959-01-29
36,50,1955-11-22
36,95,1959-09-07
36,1,1961-04-04
36,1,1961-07-18
36,1,1961-09-06
36,1,1962-04-11
36,63,1962-08-08
37,1,1957-11-14
37,200,1958-12-10
37,200,1960-04-18
37,400,1961-08-04
37,400,1961-10-14
37,30,1961-10-26
38,50,1956-07-27
38,200,1957-12-01
38,74,1959-05-24
38,1,1959-06-24
38,74,1961-06-02
38,235,1961-12-24
39,1,1961-07-31
39,40,1963-08-16
40,600,1961-12-24
40,1,1962-01-11
41,19,1961-03-27
41,1,1962-07-02
42,19,1956-06-22
42,1,1957-06-09
42,1,1959-09-13
42,1,1959-11-08
42,63,1960-11-24
42,100,1961-03-09
42,1,1962-01-26
43,1,1957-06-09
43,100,1957-12-16
43,1,1958-05-12
43,22,1959-02-02
43,19,1959-03-06
43,22,1959-08-28
43,1,1959-10-28
44,114,1961-11-04
45,100,1956-12-15
45,200,1958-11-26
45,1,1958-12-17
45,235,1959-05-28
45,200,1959-07-16
45,19,1959-07-17
45,400,1959-10-07
46,200,1959-07-04
46,22,1961-04-24
46,1,1962-05-19
47,22,1962-05-14
48,1,1958-04-24
49,200,1961-09-23
50,40,1962-05-27
51,22,1962-11-23
52,200,1961-07-10
52,1,1961-07-17
52,131,1962-07-28
53,200,1955-12-16
53,40,1961-11-25
54,300,1958-11-30
54,1,1959-07-22
54,1,1959-08-28
54,100,1960-03-26
54,100,1960-04-09
54,19,1961-03-18
54,1,1961-09-26
54,100,1962-11-20
54,19,1962-11-30
54,1,1963-02-12
54,19,1963-04-15
54,19,1963-04-19
55,100,1962-02-04
56,1,1962-05-13
56,19,1962-08-14
57,235,1961-01-14
57,30,1961-01-19
57,200,1962-03-16
57,1,1962-11-12
57,22,1963-03-27
58,1,1961-05-31
59,100,1958-02-02
59,1,1961-06-24
60,19,1963-01-10
61,1,1961-04-23
62,100,1960-02-11
62,200,1962-10-28
63,100,1959-03-03
63,1,1961-07-09
63,19,1961-09-20
64,1,1961-03-30
65,1,1959-10-04
65,200,1961-07-21
66,30,1959-12-28
66,200,1960-12-06
67,40,1960-05-18
67,22,1961-07-23
67,22,1961-10-28
67,200,1961-11-15
68,100,1962-11-29
69,1,1959-04-22
69,200,1962-05-29
70,40,1958-10-09
70,200,1961-11-04
70,63,1961-12-15
70,19,1962-05-04
70,19,1962-05-08
70,1,1962-06-11
70,19,1962-08-31
70,200,1962-09-16
70,1,1962-10-10
70,63,1963-03-02
70,19,1963-03-08
70,600,1963-04-03
71,200,1957-09-23
71,100,1958-02-02
71,1,1958-07-25
71,100,1958-12-29
71,100,1959-01-14
71,1,1959-02-24
71,100,1959-03-21
71,1,1959-09-17
71,300,1961-06-12
71,114,1961-07-31
71,19,1962-02-19
71,1,1962-05-23
71,100,1962-09-14
72,1,1958-03-26
72,1,1958-12-08
74,81,1955-04-15
74,100,1955-09-18
74,1,1959-08-31
74,100,1959-10-15
74,100,1960-02-01
74,19,1960-02-10
74,800,1960-09-27
74,2,1961-04-13
74,1,1962-01-17
74,400,1962-07-09
75,19,1961-05-04
75,19,1961-08-14
75,19,1962-10-06
75,19,1963-03-18
75,100,1963-07-04
77,200,1959-05-24
78,152,1954-06-25
78,235,1954-07-06
78,152,1954-07-06
78,3,1955-05-19
78,300,1955-10-24
78,87,1955-10-24
78,300,1956-10-18
78,1,1957-04-01
78,131,1958-03-31
78,200,1958-08-10
78,200,1959-03-09
78,400,1959-10-05
78,1,1959-10-05
78,2,1960-03-23
78,1,1960-04-26
78,1,1960-08-15
78,58,1960-08-29
78,200,1960-09-20
79,1,1960-05-09
79,1,1960-11-14
79,200,1962-06-26
80,100,1960-10-28
80,1,1961-04-23
80,63,1962-05-30
80,40,1963-01-12
81,1,1961-05-21
81,1,1961-07-20
81,3,1961-12-05
81,3000,1962-11-23
82,100,1960-03-24
83,1,1958-02-09
83,1,1961-03-22
83,22,1961-09-22
83,200,1962-04-26
83,19,1962-07-09
83,95,1962-07-12
84,19,1960-11-23
85,1,1960-11-06
85,40,1960-11-06
85,40,1963-05-30
86,30,1963-02-16
88,1,1955-08-08
88,1,1959-07-27
88,300,1959-11-25
88,200,1959-11-25
88,1,1960-06-26
88,200,1961-01-13
88,1,1961-01-13
88,19,1961-06-28
88,100,1961-09-24
88,19,1961-10-18
88,30,1961-10-21
88,22,1961-11-04
88,200,1961-11-22
88,19,1962-02-10
89,1,1959-10-11
90,22,1953-11-19
90,19,1961-10-29
91,700,1962-01-13
91,400,1962-04-15
91,81,1962-08-15
91,82,1962-12-15
91,19,1963-04-06
92,100,1958-04-28
92,1,1958-12-09
92,22,1960-02-06
92,100,1960-06-04
92,353,1960-08-01
92,600,1960-10-16
92,600,1960-10-16
92,1,1962-05-26
92,1,1962-07-09
92,834,1962-09-13
92,22,1962-11-26
93,3,1953-04-03
93,152,1953-06-24
93,60,1953-06-24
93,1,1958-03-05
93,220,1958-04-30
93,1,1958-05-12
93,30,1959-04-15
93,235,1961-07-21
93,1,1961-09-20
94,100,1959-07-28
95,1,1959-02-09
95,1,1959-07-28
96,22,1961-09-30
96,1,1961-10-24
96,1,1962-05-19
97,100,1955-04-12
97,100,1956-06-30
97,19,1956-08-29
97,200,1956-09-19
97,1,1956-09-19
98,1,1961-06-09
98,100,1961-06-20
98,30,1961-10-10
98,30,1962-04-30
99,1,1959-07-24
100,22,1959-07-31
100,30,1961-06-23
100,1,1961-09-29
100,1,1962-09-23
100,19,1962-09-29
100,30,1962-12-28
100,1,1963-08-22
101,19,1961-03-11
101,100,1962-08-15
102,19,1957-06-18
102,200,1957-06-27
102,400,1962-06-04
103,400,1962-03-27
103,30,1962-03-27
103,1,1962-04-17
104,152,1962-05-31
105,400,1959-06-12
105,100,1960-01-09
105,200,1961-09-09
105,40,1961-09-16
105,353,1961-10-07
105,400,1961-11-03
105,20,1961-12-05
105,1,1962-04-05
105,63,1962-05-18
105,19,1962-06-29
105,22,1962-09-15
105,357,1962-09-30
106,300,1959-08-12
107,400,1959-04-30
108,22,1961-09-18
108,22,1961-12-14
109,1,1960-01-17
109,63,1960-12-05
110,19,1961-06-06
110,22,1963-10-08
111,40,1963-05-25
112,200,1962-07-04
113,100,1960-05-14
114,1,1956-07-06
115,1,1958-06-03
115,200,1958-06-04
115,1,1960-02-23
115,1,1960-05-02
115,200,1960-06-24
115,1,1961-03-22
115,100,1961-04-15
115,1,1961-05-10
115,1,1962-01-09
116,200,1959-10-10
116,200,1961-04-05
116,19,1963-02-06
117,400,1963-05-23
118,1,1961-06-22
118,1,1962-06-03
119,300,1961-02-16
120,1,1962-01-28
121,1,1962-07-01
123,1,1962-05-07
124,3,1957-09-15
124,100,1959-05-25
125,30,1954-11-03
125,1,1957-05-06
125,1,1957-08-06
125,152,1959-07-04
125,152,1959-09-01
125,152,1959-12-23
125,152,1961-01-18
125,152,1961-04-19
125,152,1961-07-03
125,152,1961-08-31
125,152,1962-02-19
125,152,1962-05-16
125,1,1962-08-01
125,235,1963-03-21
125,235,1963-11-06
126,19,1960-04-15
127,357,1961-08-22
127,357,1962-07-09
128,1,1959-07-15
129,1,1958-06-22
129,63,1961-04-07
129,1,1961-04-26
129,200,1961-04-30
129,1000,1961-05-06
129,19,1962-03-23
129,1,1962-04-19
129,1,1962-04-25
129,19,1962-11-17
130,60,1953-06-16
130,60,1953-07-09
130,1,1958-10-30
131,200,1957-04-16
132,1,1962-05-24
133,1,1957-02-07
134,800,1959-06-07
134,59,1960-08-14
134,100,1960-10-05
134,19,1960-11-02
134,30,1961-02-06
134,400,1961-06-13
134,400,1961-06-15
134,800,1961-06-17
135,400,1962-05-18
136,3,1956-05-12
136,235,1957-04-20
136,1,1957-05-21
136,19,1957-12-14
137,200,1956-11-15
137,300,1958-06-24
137,300,1958-09-26
137,300,1958-11-06
137,200,1960-11-19
137,235,1962-09-04
138,300,1957-12-02
138,1,1960-04-10
138,100,1960-09-13
138,1,1961-03-26
138,1,1961-03-27
138,100,1961-08-13
139,220,1959-10-19
139,41,1960-04-24
139,22,1961-05-13
139,200,1961-07-11
140,1,1957-07-08
140,600,1958-09-19
140,1,1960-10-11
140,30,1960-10-28
140,152,1961-04-18
140,152,1961-09-25
141,19,1962-03-05
142,1,1960-04-15
143,300,1961-12-15
144,1,1962-02-18
145,1,1958-06-23
146,356,1963-01-07
147,3,1955-03-17
148,19,1961-03-20
148,700,1961-12-15
148,1,1962-11-26
148,400,1963-01-18
148,74,1963-03-25
148,19,1963-07-12
148,200,1963-11-11
148,353,1963-11-14
149,185,1961-10-13
150,1,1960-11-20
150,200,1963-02-13
151,30,1962-03-12
151,1,1962-08-26
151,100,1962-09-09
152,100,1956-01-12
152,100,1959-05-22
152,114,1963-05-01
153,10,1953-08-11
153,100,1957-11-16
153,20,1958-03-26
153,19,1959-03-09
153,114,1961-10-12
153,81,1961-12-01
153,400,1961-12-23
154,400,1960-12-03
155,200,1956-07-09
155,152,1957-01-08
155,20,1959-04-02
155,400,1960-07-18
155,100,1960-09-25
155,152,1961-04-07
155,22,1961-08-17
155,3,1962-04-16
155,1,1962-06-01
155,600,1962-08-05
155,40,1962-11-28
155,22,1963-01-18
155,218,1963-02-14
155,81,1963-02-22
156,40,1962-10-13
157,100,1955-04-08
158,200,1957-05-04
159,1,1959-03-11
159,1,1961-03-24
159,1,1961-04-11
159,30,1961-05-27
160,400,1958-09-18
160,1,1961-05-31
160,100,1961-10-06
161,1,1959-06-07
161,100,1959-12-19
162,220,1959-04-19
162,1,1960-08-08
162,60,1961-06-18
162,400,1962-08-01
163,1,1961-07-29
164,100,1961-06-28
165,353,1962-08-05
165,22,1962-09-12
165,22,1962-11-19
167,36,1960-03-04
167,1,1962-07-04
168,1,1959-09-08
168,19,1962-10-25
169,1,1957-10-15
169,100,1957-11-21
169,1400,1961-12-26
169,2,1962-01-30
170,48,1959-04-13
171,1,1958-04-28
171,1100,1960-07-01
172,1,1958-05-19
172,1,1959-03-16
172,1,1959-09-15
172,1,1959-11-01
173,2600,1962-04-14
173,400,1962-06-27
173,19,1962-09-05
174,1,1961-11-05
175,1,1957-04-04
175,200,1960-04-22
175,100,1961-04-15
175,1,1961-05-16
175,400,1962-04-28
176,100,1956-10-24
176,400,1962-10-17
176,1,1962-10-17
177,200,1961-12-25
177,40,1962-11-29
177,1,1962-11-29
178,1,1962-05-05
179,200,1957-10-06
179,200,1958-11-09
179,100,1959-04-06
179,100,1960-11-20
179,19,1961-07-17
179,200,1961-08-16
179,19,1962-02-27
180,1,1961-11-26
181,114,1959-09-26
181,1,1960-08-07
181,200,1962-05-24
182,100,1960-09-08
182,30,1961-02-23
183,100,1960-11-03
184,200,1954-06-06
184,200,1960-06-11
184,1,1960-06-18
184,1,1960-07-02
184,1,1960-08-13
184,22,1960-12-02
184,19,1960-12-07
184,114,1961-04-14
184,1,1961-06-01
184,1,1962-02-17
184,1,1962-02-17
184,19,1963-07-27
184,19,1963-08-13
184,63,1963-11-08
185,1,1962-04-24
