D_R,statefp,countyfp,tractce,blkgrpce,geoid,namelsad,mtfcc,funcstat,aland,awater,intptlat,intptlon,SqMile_BG,GeoIdN,logrecno,geoid_1,b02001_001,b02001_002,b02001_003,b02001_005,b02001_006,b02006_002,b03001_001,b03001_002,b03002_003,b03002_004,b03002_012,b03002_014,b03002_013,b01001_002,Male_un17,b01001_026,Fem_un17,Under17,PropMove,b99072_001,b99072_007,PerPoverty,b17017_002,b17017_001,PerFemHead,b11003_016,b11003_001,PerUnemplo,b23025_005,b23025_003,PerAssist,b22010_002,b22010_001,b16002_001,b16002_004,b16002_010,SpanSpeakP,AsianSpeak,WhitePerc,BlackPerc,HispPerc,AsianPerc
 ,48,113,011701,4,481130117014,Block Group 4,G5030,S,663581,0,+32.7049329,-096.6525356,.256154908678,481130117014,13277,481130117014,2423,1230,979,0,0, , , ,23,979,1418,0,1207,1124,334,1299,456,790,.0551409618574,2412,2279,.281690140845,180,639,.240631163708,122,507,.0889443059019,107,1203,.225352112676,144,639,639,75,0,0,0,.00949236483698,.404044572844,.498142798184,0
 ,48,113,000300,1,481130003001,Block Group 1,G5030,S,585736,0,+32.8297631,-096.7723315,.226099821498,481130003001,12689,481130003001,1464,1430,0,0,0, , , ,1401,0,29,0,29,895,186,569,80,266,.146953405018,1395,1190,.0910404624277,63,692,0,0,247,0,0,900,0,0,692,692,0,0,0,0,.956967213115,0,.0198087431694,0
 ,48,113,006402,2,481130064022,Block Group 2,G5030,S,462538,0,+32.7320450,-096.8741145,.17854712391,481130064022,12923,481130064022,2301,1886,114,0,0, , , ,124,114,2056,0,1762,1267,458,1034,364,822,.0344522968198,2264,2186,.0880503144654,42,477,.0763888888889,33,432,.0943396226415,105,1113,.188679245283,90,477,477,106,0,0,0,.0538896132116,.0495436766623,.765754019991,0
 ,48,113,016522,1,481130165221,Block Group 1,G5030,S,17623110,3690713,+32.6016896,-096.9814312,8.22772074947,481130165221,13824,481130165221,2093,1769,279,6,0, , , ,1325,274,466,5,444,983,242,1110,165,407,.219111969112,2072,1618,.0817901234568,53,648,.130536130536,56,429,.0669683257919,74,1105,.134259259259,87,648,648,32,0,0,0,.633062589584,.133301481128,.212135690397,0
 ,48,113,020200,3,481130202003,Block Group 3,G5030,S,16288352,97413,+32.6855277,-096.7107028,6.32523563415,481130202003,14333,481130202003,1417,281,1091,0,0, , , ,0,1091,281,0,281,636,235,781,204,439,.0654676258993,1390,1299,.510775862069,237,464,.154088050314,49,318,.0657370517928,33,502,.439655172414,204,464,464,67,0,0,0,0,.769936485533,.198306280875,0
 ,48,113,020100,1,481130201001,Block Group 1,G5030,S,9347602,145042,+32.8330215,-096.9037936,3.66425041073,481130201001,14329,481130201001,1053,630,73,9,0, , , ,164,73,807,0,466,580,191,473,194,385,.355029585799,1014,654,.315942028986,109,345,.03125,5,160,.0682730923695,34,498,.11884057971,41,345,345,65,0,0,0,.155745489079,.0693257359924,.442545109212,0
 ,48,113,019502,3,481130195023,Block Group 3,G5030,S,507877,0,+32.8481190,-096.8084948,.196043862191,481130195023,14313,481130195023,1582,1476,0,63,0, , , ,1402,0,110,0,74,704,307,878,250,557,.208360128617,1555,1231,.0533333333333,36,675,.217194570136,96,442,.0199530516432,17,852,.0311111111111,21,675,675,0,0,0,0,.886219974716,0,.0467762326169,0
 ,48,113,007700,2,481130077002,Block Group 2,G5030,S,272041,0,+32.8669645,-096.7998003,.105008987014,481130077002,12973,481130077002,1412,1395,0,17,0, , , ,1395,0,0,0,0,546,14,866,26,40,.0779036827195,1412,1302,.0494736842105,47,950,0,0,294,.0210249671485,16,761,0,0,950,950,13,0,0,0,.987960339943,0,0,0
 ,48,113,009101,4,481130091014,Block Group 4,G5030,S,816622,0,+32.7532506,-096.6870684,.315227412018,481130091014,13112,481130091014,2343,1103,555,20,0, , , ,114,555,1654,0,989,1244,613,1099,370,983,.0929832113646,2323,2107,.267441860465,161,602,.0357852882704,18,503,.171945701357,152,884,.360465116279,217,602,602,131,0,0,0,.0486555697823,.236875800256,.422108408024,0
 ,48,113,009605,2,481130096052,Block Group 2,G5030,S,282676,0,+32.9114294,-096.8600510,.109114135331,481130096052,13153,481130096052,1640,1373,114,98,10, , , ,630,114,798,0,743,886,211,754,100,311,.276266996292,1618,1171,.263979193758,203,769,.0923566878981,29,314,.0796019900498,64,804,.109232769831,84,769,769,124,31,0,0,.384146341463,.069512195122,.453048780488,0
 ,48,113,017900,4,481130179004,Block Group 4,G5030,S,1066410,0,+32.8175579,-096.6478277,.411644317569,481130179004,14018,481130179004,1984,1201,280,0,0, , , ,628,280,1044,0,573,997,489,987,380,869,.0774683544304,1975,1822,.29373650108,136,463,.29347826087,108,368,.0819209039548,58,708,.226781857451,105,463,463,12,0,0,0,.316532258065,.141129032258,.288810483871,0
 ,48,113,001703,3,481130017033,Block Group 3,G5030,S,107479,0,+32.7987412,-096.7964250,.0414882616269,481130017033,12781,481130017033,1300,1208,0,92,0, , , ,1149,0,59,0,59,801,0,499,0,0,.474615384615,1300,683,.0786885245902,72,915,0,0,169,0,0,1119,0,0,915,915,0,0,0,0,.883846153846,0,.0453846153846,0
 ,48,113,001704,2,481130017042,Block Group 2,G5030,S,178658,0,+32.7916484,-096.8018075,.0689639646403,481130017042,12783,481130017042,327,300,0,27,0, , , ,270,0,30,0,30,187,0,140,0,0,.376146788991,327,204,.0540540540541,12,222,0,0,81,.0392857142857,11,280,0,0,222,222,0,0,0,0,.825688073394,0,.0917431192661,0
 ,48,085,031720,2,480850317202,Block Group 2,G5030,S,220992,0,+32.9890035,-096.7743495,.0853036982957,480850317202,12419,480850317202,408,69,178,0,0, , , ,69,178,27,0,0,219,0,189,0,0,.615196078431,408,157,.236947791165,59,249,0,0,78,.106382978723,40,376,.172690763052,43,249,249,0,0,0,0,.169117647059,.436274509804,0,0
 ,48,113,016701,1,481130167011,Block Group 1,G5030,S,4009892,0,+32.6552176,-096.7810285,1.5479060254,481130167011,13883,481130167011,1596,170,1426,0,0, , , ,30,1426,140,0,140,802,373,794,150,523,.078320802005,1596,1471,.254335260116,176,692,.282828282828,84,297,.132890365449,80,602,.219653179191,152,692,692,12,0,0,0,.0187969924812,.893483709273,.0877192982456,0
 ,48,113,016701,2,481130167012,Block Group 2,G5030,S,442308,0,+32.6605499,-096.7706132,.170740498094,481130167012,13884,481130167012,1138,10,1128,0,0, , , ,10,1128,0,0,0,474,0,664,42,42,.066783831283,1138,1062,.289308176101,92,318,0,0,258,.28813559322,119,413,.245283018868,78,318,318,0,0,0,0,.00878734622144,.991212653779,0,0
 ,48,113,016703,1,481130167031,Block Group 1,G5030,S,17933520,28641,+32.6307597,-096.7490227,6.9338243329,481130167031,13887,481130167031,1091,893,175,0,0, , , ,268,175,648,0,625,695,288,396,48,336,.0149953139644,1067,1051,0,0,209,0,0,192,0,0,387,.143540669856,30,209,209,109,0,1,0,.24564619615,.160403299725,.572868927589,0
 ,48,113,016510,4,481130165104,Block Group 4,G5030,S,1046720,0,+32.6372662,-096.9480791,.40405802999,481130165104,13796,481130165104,2688,1230,975,0,0, , , ,159,975,1540,0,1071,1368,545,1320,474,1019,.0576335877863,2620,2469,.118476727786,84,709,.059925093633,32,534,.0699588477366,85,1215,.0846262341326,60,709,709,85,0,0,0,.0591517857143,.362723214286,.3984375,0
 ,48,113,016511,1,481130165111,Block Group 1,G5030,S,785097,0,+32.6296023,-096.9496495,.303065893706,481130165111,13797,481130165111,1274,371,661,0,0, , , ,213,661,345,0,158,571,219,703,132,351,.147035573123,1265,1079,.139693356048,82,587,.242811501597,76,313,.0708556149733,53,748,.177172061329,104,587,587,20,0,0,0,.167189952904,.518838304553,.124018838305,0
 ,48,113,016513,2,481130165132,Block Group 2,G5030,S,1965041,0,+32.6376350,-096.9327908,.758551510154,481130165132,13800,481130165132,1484,957,423,55,0, , , ,796,423,210,0,161,728,100,756,90,190,.0343665768194,1484,1433,.0971962616822,52,535,.0430839002268,19,441,.055033557047,41,745,.0467289719626,25,535,535,0,11,0,0,.536388140162,.285040431267,.108490566038,0
 ,48,113,016513,3,481130165133,Block Group 3,G5030,S,1932471,0,+32.6261210,-096.9367163,.745981924849,481130165133,13801,481130165133,2950,1285,1224,170,0, , , ,851,1224,626,0,434,1459,244,1491,301,545,.041638225256,2930,2808,.0649474689589,68,1047,.014371257485,12,835,.0703897614892,121,1719,.102196752627,107,1047,1047,47,0,0,0,.288474576271,.414915254237,.147118644068,0
 ,48,113,019041,1,481130190411,Block Group 1,G5030,S,543941,0,+32.9287660,-096.7317465,.209964561196,481130190411,14245,481130190411,1148,738,267,132,0, , , ,554,267,195,0,184,443,120,705,97,217,.254283137962,1109,827,.0688976377953,35,508,.0394265232975,11,279,.108974358974,68,624,.0748031496063,38,508,508,0,6,0,0,.482578397213,.232578397213,.160278745645,0
 ,48,113,016903,1,481130169031,Block Group 1,G5030,S,20048237,473423,+32.6160688,-096.6533296,7.92189202452,481130169031,13908,481130169031,569,301,268,0,0, , , ,134,268,167,0,167,342,95,227,16,111,.016333938294,551,542,.20618556701,40,194,.0574712643678,10,174,0,0,355,.0927835051546,18,194,194,25,0,0,0,.235500878735,.471001757469,.293497363796,0
 ,48,113,005901,4,481130059014,Block Group 4,G5030,S,356001,0,+32.6902909,-096.8054983,.137423421542,481130059014,12893,481130059014,961,188,773,0,0, , , ,0,754,207,19,188,443,134,518,85,219,.178980228928,961,789,.305164319249,130,426,.246073298429,47,191,.137931034483,68,493,.119718309859,51,426,426,68,0,0,0,0,.804370447451,.195629552549,0
 ,48,113,009105,1,481130091051,Block Group 1,G5030,S,419264,0,+32.7381810,-096.6971957,.161842564766,481130091051,13117,481130091051,756,473,209,8,0, , , ,101,209,436,0,372,349,70,407,70,140,.22619047619,756,585,.458064516129,142,310,.15,27,180,.202166064982,56,277,.203225806452,63,310,310,50,9,0,0,.133597883598,.276455026455,.492063492063,0
 ,48,113,008703,1,481130087031,Block Group 1,G5030,S,472226,0,+32.7061437,-096.7761259,.182288139906,481130087031,13085,481130087031,1010,258,752,0,0, , , ,12,752,246,0,246,539,110,471,42,152,.0950495049505,1010,914,.173295454545,61,352,.0309278350515,6,194,.133484162896,59,442,.230113636364,81,352,352,36,0,0,0,.0118811881188,.744554455446,.243564356436,0
 ,48,113,012701,3,481130127013,Block Group 3,G5030,S,633964,0,+32.8471518,-096.6694268,.24471573005,481130127013,13345,481130127013,1936,1099,185,63,0, , , ,623,115,1123,70,476,804,235,1132,186,421,.0510948905109,1918,1820,.350439882698,239,682,.159863945578,47,294,.135922330097,98,721,.32991202346,225,682,682,92,38,0,0,.321797520661,.0955578512397,.245867768595,0
 ,48,113,001302,2,481130013022,Block Group 2,G5030,S,86646,0,+32.8016772,-096.7664143,.0334463898418,481130013022,12759,481130013022,519,352,123,0,0, , , ,55,123,297,0,297,273,74,246,78,152,.0732177263969,519,481,.284671532847,78,274,.459459459459,51,111,.110320284698,31,281,.295620437956,81,274,274,101,0,0,0,.105973025048,.236994219653,.57225433526,0
 ,48,113,016002,1,481130160021,Block Group 1,G5030,S,630203,0,+32.7415176,-096.9989156,.243267767103,481130160021,13738,481130160021,1069,770,195,0,0, , , ,128,176,754,19,642,592,177,477,174,351,.223282442748,1048,814,.304347826087,105,345,.25,66,264,.0864440078585,44,509,.292753623188,101,345,345,55,0,0,0,.119738072965,.182413470533,.600561272217,0
 ,48,113,012900,5,481130129005,Block Group 5,G5030,S,665330,0,+32.8549147,-096.7079667,.256822083342,481130129005,13360,481130129005,695,695,0,0,0, , , ,602,0,93,0,93,233,56,462,33,89,.0845921450151,662,606,.0696202531646,33,474,.118518518519,16,135,.0424107142857,19,448,0,0,474,474,0,0,0,0,.86618705036,0,.13381294964,0
 ,48,113,000900,2,481130009002,Block Group 2,G5030,S,165066,0,+32.8139376,-096.7816190,.0637171858434,481130009002,12735,481130009002,1319,1100,22,100,0, , , ,995,22,181,0,105,786,0,533,0,0,.500379075057,1319,659,.124869927159,120,961,0,0,88,.0238095238095,30,1260,.0790842872008,76,961,961,30,0,0,0,.754359363154,.0166793025019,.0796057619409,0
