City,Weight
Intercept,6.681234268403543
"Laredo, TX",0.13127550733801435
"Vacaville, CA",0.054175496374450786
"Hayward, CA",0.05409789918759677
"Novato, CA",0.044912031667366306
"Antioch, CA",0.04322201352611498
"Baltimore, MD",0.03686608668972739
"Aiken Cnty, SC",0.036350454605006445
"McAllen, TX",0.03616824379973781
"Harlingen, TX",0.035973096661217355
"Baldwin Park, CA",0.0336854515694468
"Porterville, CA",0.0325345768043314
"Concord, CA",0.029326786034330303
"Washington, DC",0.026996599846641735
"Fairfield, CA",0.02612033996022457
"Miami, FL",0.018455701571769578
"Santa Monica, CA",0.015015019473870453
"Portsmouth, VA",0.014831940119175165
"Monterey Park, CA",0.012340352505576444
"Berkeley, CA",0.010239874016154114
"Santa Cruz, CA",0.008251113080594214
"Richmond, CA",0.0076077611144464005
"Dunwoody, GA",0.005904293199622623
"Alpharetta, GA",0.0052442935073317674
"Gilroy, CA",0.005073022816462793
"Missoula, MT",0.004903819826570646
"Wayne Township, NJ",0.004415852818987864
"Medford, OR",0.003881954593322727
"Cicero, IL",0.0027844307620716914
"Visalia, CA",0.001547704851877094
"Rock Hill, SC",0.0013746364185792499
"Santa Clara, CA",0.0012470936444649598
