From,To,Weight
22,220,1
22,246,1
22,288,1
22,290,1
23,69,1
24,220,1
24,246,1
24,288,1
24,290,1
25,69,1
26,31,1
27,202,1
28,202,2
29,134,4
30,246,1
31,33,1
31,36,1
31,165,1
32,69,1
34,69,2
35,134,1
37,134,1
38,124,1
39,267,1
40,164,1
41,134,1
42,124,1
43,69,2
44,267,1
45,202,1
46,134,1
47,69,1
48,164,1
49,116,1
50,134,2
51,164,1
52,69,4
52,164,3
53,134,3
54,134,1
55,257,1
56,267,1
57,69,1
58,69,3
59,69,2
60,69,1
61,69,1
62,68,2
62,69,5
63,134,3
64,68,1
65,69,2
66,69,3
67,69,3
68,72,1
68,74,1
68,82,1
68,138,1
68,143,1
68,158,1
68,212,1
68,237,1
69,74,1
69,77,1
69,82,1
69,89,1
69,92,1
69,112,1
69,116,1
69,145,1
69,153,1
69,164,3
69,167,1
69,168,2
70,159,3
71,116,1
73,124,2
73,202,1
75,248,1
76,134,4
78,124,1
79,248,1
80,219,1
81,164,1
82,116,1
82,159,2
82,194,1
82,257,1
83,202,1
84,116,1
1,164,1
85,276,1
86,164,1
87,116,1
87,194,1
88,116,1
90,219,1
91,159,3
93,220,1
94,257,1
95,159,1
96,267,1
97,116,1
98,116,1
98,194,1
99,164,1
2,246,1
100,116,1
100,202,1
101,116,1
102,134,1
103,279,1
104,134,1
105,248,2
106,124,2
106,194,3
106,202,4
3,267,1
107,202,1
108,219,6
109,164,1
109,220,1
110,164,4
110,248,1
111,116,1
112,246,1
113,159,1
113,220,1
113,246,1
114,202,1
115,159,1
116,117,1
116,119,1
116,121,3
116,122,1
116,123,1
116,124,1
116,126,1
116,127,1
116,129,1
116,130,1
116,139,1
116,140,1
116,174,1
116,194,4
116,202,3
116,244,1
116,257,1
116,266,1
118,246,2
120,134,1
121,194,1
124,139,5
124,141,3
124,144,1
124,171,1
124,175,1
124,192,1
124,193,1
124,194,2
124,201,1
124,202,6
124,238,1
124,239,1
124,249,1
124,296,2
125,159,2
4,159,2
128,219,1
131,202,1
132,267,1
133,134,6
134,152,2
134,155,1
134,160,1
134,161,1
134,170,1
134,187,1
134,192,10
134,194,1
134,202,2
134,232,4
134,237,1
134,250,2
134,274,2
134,276,1
134,299,1
134,308,1
135,246,1
136,159,2
136,220,2
137,257,1
139,194,3
139,202,7
142,191,2
146,276,1
147,164,1
148,248,1
149,220,1
150,202,1
151,276,1
152,164,1
154,202,3
156,248,1
157,164,1
157,248,1
5,68,5
158,159,1
158,220,2
158,246,1
158,267,1
159,182,1
159,185,1
159,186,1
159,205,1
159,206,1
159,212,1
159,220,1
159,246,1
162,220,1
162,290,1
163,164,1
164,166,2
164,167,1
164,168,2
164,194,1
164,196,1
164,198,1
164,204,1
164,207,1
164,210,1
164,218,1
164,220,1
164,229,2
164,240,3
164,248,1
164,251,1
164,261,1
164,268,1
164,286,1
166,248,1
6,246,1
169,202,1
172,248,1
173,276,1
176,257,1
177,257,3
178,202,1
179,191,1
180,220,1
181,220,1
182,261,1
183,248,1
184,220,1
184,246,2
188,248,1
189,248,2
190,194,2
191,220,4
191,237,1
191,243,1
191,246,3
191,271,1
191,276,1
192,202,1
194,199,1
194,202,2
194,211,2
194,220,1
194,222,1
194,224,1
194,228,1
194,236,1
194,238,1
194,239,1
194,244,1
194,256,1
194,257,1
194,261,1
195,276,1
197,276,1
198,220,1
198,248,1
198,290,1
200,248,1
202,209,1
202,211,1
202,217,2
202,220,1
202,224,1
202,226,1
202,237,1
202,238,5
202,239,1
202,246,1
202,249,3
202,252,1
202,255,1
202,270,1
202,276,3
203,257,5
205,220,1
205,246,1
208,276,1
210,220,1
210,246,1
210,288,1
210,290,1
212,220,1
212,246,2
213,220,1
213,290,1
214,257,1
215,257,5
216,246,1
219,245,2
219,253,1
219,267,2
219,272,1
220,225,1
220,234,1
220,237,1
220,242,1
220,246,14
220,247,2
220,261,2
220,265,1
220,267,1
220,269,1
220,271,1
220,276,1
220,278,1
220,288,3
220,290,2
220,301,2
221,257,1
223,248,1
7,134,1
227,276,1
230,246,1
231,248,1
233,264,1
233,294,1
235,267,2
237,246,1
237,271,1
237,276,1
241,276,1
244,257,1
246,258,1
246,269,1
246,271,1
246,288,1
246,290,2
246,306,1
8,246,1
254,267,1
257,262,5
257,276,1
257,277,1
257,280,1
257,282,1
259,261,2
260,261,2
261,263,1
261,275,2
261,288,3
261,293,1
261,302,2
267,283,2
267,284,1
267,295,1
267,305,1
273,276,1
276,281,1
276,282,3
276,285,1
276,287,1
276,289,1
276,291,1
276,298,1
278,290,1
9,267,1
288,290,1
288,292,1
288,297,1
288,300,2
288,301,1
288,303,1
288,304,1
288,307,1
290,301,2
10,267,1
11,220,1
11,290,1
12,31,1
13,220,1
13,246,1
13,288,1
13,290,1
14,246,1
15,31,1
16,134,1
17,246,1
17,267,1
18,69,1
19,159,1
20,134,4
21,267,1
