Dist,Area,Land,PctLand,StreetKm,StreetDens,Theft,Robbery,PctReach,Crimes,PerKm,PerSqKm
100,0.1869007330061565,0.06004963814937639,32.12916139146354,3.2996417005820957,17.65451449820374,33,3,90.67485505179674,36,10.910275498594038,192.61561696932543
200,0.4277214157991766,0.17510045961431803,40.937968768094386,6.15373298980015,14.387245441760731,114,5,88.56091273670972,119,19.337855606871994,278.2184749333963
300,0.7312221850324945,0.3594255708068004,49.15408451274328,10.187896498588442,13.932696117713805,245,28,84.55597733902137,273,26.796503089506732,373.3475345634765
400,1.0974260763884558,0.6125891731576466,55.820541022100564,15.794510795798487,14.392323214860175,483,54,82.30794000646031,537,33.99915368970135,489.3268089338877
500,1.5263433280165026,0.90385693860848,59.21714479422206,24.249918346459523,15.887590885579144,1397,93,77.98708199844326,1490,61.44350585896052,976.1892836628499
600,2.017984034140658,1.2603231358526932,62.45456428446875,33.46736404083985,16.584553432847972,1932,133,78.0340037014684,2065,61.701901514565165,1023.2984825766291
700,2.5723510945718644,1.69225470340072,65.78630370370864,43.707656044265825,16.991326003863566,2660,221,82.46051985787749,2881,65.91522540312407,1119.9870834426304
800,3.189447888423969,2.180414075117954,68.3633704451394,54.541878408763026,17.100727247095517,4095,275,80.57634460198635,4370,80.12191966050604,1370.1430946280136
900,3.8692746747641844,2.7246031626054403,70.41638011319247,66.32774611493308,17.142165312669476,5827,366,79.49221327092398,6193,93.36967351896348,1600.5583786520497
1000,4.61183145357208,3.3164112781860373,71.91093845412153,79.13186295345945,17.1584464328522,7482,468,80.26955918646183,7950,100.46521973930662,1723.8270912616183
