Order,Segments,StreetKm,Theft,Robbery,Crimes,PerKm
1,1,0.5730353606980049,0,0,0,0.0
2,3,0.6012168041354418,0,0,0,0.0
3,7,0.8083707114186613,1,0,1,1.2370561994323572
4,17,1.4697520813055927,9,0,9,6.123481718090324
5,34,2.9879773069278657,11,1,12,4.016094758208851
6,53,4.400111552256856,30,5,35,7.954343789772373
7,73,6.285897834616662,80,8,88,13.999591198473013
8,101,8.749238313157395,105,12,117,13.372592654614461
9,149,11.881017749944164,213,28,241,20.284457533205234
10,198,16.05191577029633,289,41,330,20.558293771429874
