Order,Segments,StreetKm,Theft,Robbery,Crimes,PerKm
1,1,0.08597835664952487,31,2,33,383.81752438603235
2,6,0.48027811111443675,201,30,231,480.9713261010123
3,20,1.5209649977065656,287,38,325,213.6801310286965
4,46,3.7998734305074904,832,61,893,235.0078275845982
5,77,6.679991454766292,1192,73,1265,189.37149973409024
6,118,10.167311777299464,2808,119,2927,287.88337213530787
7,172,14.96729811949121,4268,170,4438,296.5131024029381
8,230,19.433844313959163,6447,216,6663,342.855478944741
9,294,24.70217880790325,7386,267,7653,309.8107280136556
10,364,30.558998104000317,8344,336,8680,284.04072576135104
