Recidivism_Arrest_Year1,Training_Sample,Gang_Affiliated,Supervision_Risk_Score_First,Prior_Arrest_Episodes_DVCharges,Prior_Arrest_Episodes_GunCharges,Prior_Conviction_Episodes_Viol,Prior_Conviction_Episodes_PPViolationCharges,Residence_PUMA,Gender,Race,Age_at_Release,Supervision_Level_First,Education_Level,Prison_Offense,Prison_Years,Dependents,Prior_Arrest_Episodes_Felony,Prior_Arrest_Episodes_Misd,Prior_Arrest_Episodes_Violent,Prior_Arrest_Episodes_Property,Prior_Arrest_Episodes_Drug,Prior_Arrest_Episodes_PPViolationCharges,Prior_Conviction_Episodes_Felony,Prior_Conviction_Episodes_Misd,Prior_Conviction_Episodes_Prop,Prior_Conviction_Episodes_Drug
0,1,0,3,0,0,0,0,16,1,1,1,0,2,0,3,3,6,6,1,3,3,4,3,3,2,2
0,1,0,6,1,0,1,1,16,1,1,3,2,0,3,3,1,7,6,3,0,3,5,3,4,0,2
0,1,0,7,1,0,1,0,24,1,1,0,1,2,0,1,3,6,6,3,2,2,5,3,2,1,2
0,1,0,7,0,0,0,0,16,1,0,2,1,0,2,1,1,8,6,0,3,3,3,3,4,3,2
1,1,0,4,1,0,1,0,16,1,0,3,2,0,3,1,3,4,4,3,2,1,3,1,0,0,1
0,0,0,5,0,0,0,0,17,1,0,2,0,1,2,3,0,4,0,1,3,0,0,1,0,2,0
0,1,0,2,0,1,0,1,18,1,1,0,0,0,-1,0,2,10,6,1,5,1,5,3,1,3,0
0,0,0,5,0,0,1,1,16,1,1,2,1,1,0,2,3,6,6,3,1,2,5,1,4,0,2
1,1,-1,7,0,0,0,1,5,0,1,1,1,1,0,0,0,10,4,2,5,3,3,2,4,3,2
1,1,0,5,1,1,1,1,16,1,1,1,0,1,2,3,3,10,6,3,5,2,5,3,4,3,2
0,1,0,3,1,0,0,1,5,1,0,1,2,0,3,1,1,3,6,2,1,1,3,0,3,0,0
1,0,0,5,0,0,0,0,16,1,1,3,2,1,1,1,3,10,1,1,1,2,3,3,1,0,2
0,1,0,3,0,0,0,0,18,1,0,0,0,0,2,3,1,8,4,0,5,2,1,1,0,2,1
1,1,1,7,0,0,1,0,3,1,1,3,-1,1,0,1,0,10,3,1,1,5,5,0,1,1,2
0,0,0,7,0,1,1,1,5,1,0,3,0,0,3,2,1,9,3,2,2,4,4,3,2,1,1
0,0,0,4,0,1,0,1,3,1,1,3,0,0,-1,3,3,4,6,0,0,3,4,2,4,0,2
1,1,0,6,1,0,1,1,16,1,1,2,1,0,2,1,3,10,5,2,3,3,4,3,4,1,2
0,1,0,1,1,1,0,1,24,1,0,1,0,1,2,0,3,10,6,0,5,0,5,3,2,3,0
0,1,0,7,0,0,0,1,12,1,1,0,1,2,2,3,3,10,4,0,5,0,5,3,3,2,0
