"Notes"	"Single-Year Ages"	"Single-Year Ages Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"< 1 year"	"0"	"1999"	"1999"	21	3795762	0.6
	"< 1 year"	"0"	"2000"	"2000"	18	3805648	Unreliable
	"< 1 year"	"0"	"2001"	"2001"	22	4012658	0.5
	"< 1 year"	"0"	"2002"	"2002"	29	3951461	0.7
	"< 1 year"	"0"	"2003"	"2003"	25	3975871	0.6
	"< 1 year"	"0"	"2004"	"2004"	30	4014258	0.7
	"< 1 year"	"0"	"2005"	"2005"	35	4004393	0.9
	"< 1 year"	"0"	"2006"	"2006"	44	4041738	1.1
	"< 1 year"	"0"	"2007"	"2007"	33	4147997	0.8
	"< 1 year"	"0"	"2008"	"2008"	21	4132735	0.5
	"< 1 year"	"0"	"2009"	"2009"	32	4003587	0.8
	"< 1 year"	"0"	"2010"	"2010"	23	3944153	0.6
	"< 1 year"	"0"	"2011"	"2011"	24	3996537	0.6
	"< 1 year"	"0"	"2012"	"2012"	32	3943077	0.8
	"< 1 year"	"0"	"2013"	"2013"	30	3941783	0.8
	"< 1 year"	"0"	"2014"	"2014"	24	3948350	0.6
	"< 1 year"	"0"	"2015"	"2015"	29	3978038	0.7
	"< 1 year"	"0"	"2016"	"2016"	34	3970145	0.9
	"< 1 year"	"0"	"2017"	"2017"	36	3939295	0.9
	"< 1 year"	"0"	"2018"	"2018"	32	3848208	0.8
	"< 1 year"	"0"	"2019"	"2019"	50	3783052	1.3
	"< 1 year"	"0"	"2020 "	"2020"	65	3735010	1.7
	"1 year"	"1"	"1999"	"1999"	12	3785088	Unreliable
	"1 year"	"1"	"2001"	"2001"	11	3855407	Unreliable
	"1 year"	"1"	"2002"	"2002"	11	4004674	Unreliable
	"1 year"	"1"	"2003"	"2003"	16	3936139	Unreliable
	"1 year"	"1"	"2004"	"2004"	13	3953063	Unreliable
	"1 year"	"1"	"2005"	"2005"	13	3987032	Unreliable
	"1 year"	"1"	"2006"	"2006"	13	3972124	Unreliable
	"1 year"	"1"	"2007"	"2007"	24	4002215	0.6
	"1 year"	"1"	"2008"	"2008"	28	4100756	0.7
	"1 year"	"1"	"2009"	"2009"	18	4078797	Unreliable
	"1 year"	"1"	"2010"	"2010"	21	3978070	0.5
	"1 year"	"1"	"2011"	"2011"	19	3969022	Unreliable
	"1 year"	"1"	"2012"	"2012"	22	3981523	0.6
	"1 year"	"1"	"2013"	"2013"	23	3955942	0.6
	"1 year"	"1"	"2014"	"2014"	19	3962123	Unreliable
	"1 year"	"1"	"2015"	"2015"	27	3968564	0.7
	"1 year"	"1"	"2016"	"2016"	25	3995008	0.6
	"1 year"	"1"	"2017"	"2017"	22	3975252	0.6
	"1 year"	"1"	"2018"	"2018"	16	3912900	Unreliable
	"1 year"	"1"	"2019"	"2019"	32	3829599	0.8
	"1 year"	"1"	"2020 "	"2020"	35	3773884	0.9
	"2 years"	"2"	"2003"	"2003"	11	4002836	Unreliable
	"2 years"	"2"	"2005"	"2005"	10	3952632	Unreliable
	"2 years"	"2"	"2006"	"2006"	12	3988119	Unreliable
	"2 years"	"2"	"2007"	"2007"	11	3973479	Unreliable
	"2 years"	"2"	"2008"	"2008"	11	4004146	Unreliable
	"2 years"	"2"	"2010"	"2010"	11	4096929	Unreliable
	"2 years"	"2"	"2011"	"2011"	13	3971760	Unreliable
	"2 years"	"2"	"2013"	"2013"	12	3989135	Unreliable
	"2 years"	"2"	"2014"	"2014"	15	3957772	Unreliable
	"2 years"	"2"	"2015"	"2015"	17	3966583	Unreliable
	"2 years"	"2"	"2016"	"2016"	14	3992154	Unreliable
	"2 years"	"2"	"2018"	"2018"	11	3991437	Unreliable
	"2 years"	"2"	"2019"	"2019"	10	3922044	Unreliable
	"2 years"	"2"	"2020 "	"2020"	19	3853025	Unreliable
	"3 years"	"3"	"2008"	"2008"	10	3992320	Unreliable
	"3 years"	"3"	"2020 "	"2020"	13	3921526	Unreliable
	"12 years"	"12"	"2007"	"2007"	11	4192002	Unreliable
	"12 years"	"12"	"2020 "	"2020"	10	4200977	Unreliable
	"13 years"	"13"	"2000"	"2000"	12	4010850	Unreliable
	"13 years"	"13"	"2001"	"2001"	12	4113191	Unreliable
	"13 years"	"13"	"2003"	"2003"	10	4401393	Unreliable
	"13 years"	"13"	"2006"	"2006"	12	4264733	Unreliable
	"13 years"	"13"	"2007"	"2007"	12	4207326	Unreliable
	"13 years"	"13"	"2008"	"2008"	12	4200016	Unreliable
	"13 years"	"13"	"2009"	"2009"	10	4164413	Unreliable
	"13 years"	"13"	"2010"	"2010"	14	4118013	Unreliable
	"13 years"	"13"	"2011"	"2011"	10	4122078	Unreliable
	"13 years"	"13"	"2014"	"2014"	10	4169346	Unreliable
	"13 years"	"13"	"2015"	"2015"	17	4084306	Unreliable
	"13 years"	"13"	"2016"	"2016"	15	4109703	Unreliable
	"13 years"	"13"	"2017"	"2017"	19	4155315	Unreliable
	"13 years"	"13"	"2018"	"2018"	12	4156887	Unreliable
	"13 years"	"13"	"2019"	"2019"	14	4175221	Unreliable
	"13 years"	"13"	"2020 "	"2020"	24	4219921	0.6
	"14 years"	"14"	"1999"	"1999"	10	4015012	Unreliable
	"14 years"	"14"	"2000"	"2000"	14	4052231	Unreliable
	"14 years"	"14"	"2001"	"2001"	16	4059370	Unreliable
	"14 years"	"14"	"2002"	"2002"	19	4132509	Unreliable
	"14 years"	"14"	"2003"	"2003"	12	4221884	Unreliable
	"14 years"	"14"	"2004"	"2004"	31	4408259	0.7
	"14 years"	"14"	"2005"	"2005"	21	4353216	0.5
	"14 years"	"14"	"2006"	"2006"	23	4308450	0.5
	"14 years"	"14"	"2007"	"2007"	29	4259504	0.7
	"14 years"	"14"	"2008"	"2008"	21	4198094	0.5
	"14 years"	"14"	"2009"	"2009"	16	4185880	Unreliable
	"14 years"	"14"	"2010"	"2010"	24	4165982	0.6
	"14 years"	"14"	"2011"	"2011"	19	4128920	Unreliable
	"14 years"	"14"	"2012"	"2012"	21	4135274	0.5
	"14 years"	"14"	"2013"	"2013"	11	4147439	Unreliable
	"14 years"	"14"	"2014"	"2014"	15	4232480	Unreliable
	"14 years"	"14"	"2015"	"2015"	17	4185386	Unreliable
	"14 years"	"14"	"2016"	"2016"	21	4093731	0.5
	"14 years"	"14"	"2017"	"2017"	34	4127305	0.8
	"14 years"	"14"	"2018"	"2018"	25	4167071	0.6
	"14 years"	"14"	"2019"	"2019"	21	4164459	0.5
	"14 years"	"14"	"2020 "	"2020"	45	4186358	1.1
	"15 years"	"15"	"1999"	"1999"	19	3939152	Unreliable
	"15 years"	"15"	"2000"	"2000"	23	4019404	0.6
	"15 years"	"15"	"2001"	"2001"	30	4083878	0.7
	"15 years"	"15"	"2002"	"2002"	32	4097876	0.8
	"15 years"	"15"	"2003"	"2003"	32	4172654	0.8
	"15 years"	"15"	"2004"	"2004"	55	4264863	1.3
	"15 years"	"15"	"2005"	"2005"	46	4456969	1.0
	"15 years"	"15"	"2006"	"2006"	42	4406515	1.0
	"15 years"	"15"	"2007"	"2007"	54	4364495	1.2
	"15 years"	"15"	"2008"	"2008"	55	4318982	1.3
	"15 years"	"15"	"2009"	"2009"	39	4259907	0.9
	"15 years"	"15"	"2010"	"2010"	48	4242820	1.1
	"15 years"	"15"	"2011"	"2011"	39	4156836	0.9
	"15 years"	"15"	"2012"	"2012"	33	4144014	0.8
	"15 years"	"15"	"2013"	"2013"	36	4147445	0.9
	"15 years"	"15"	"2014"	"2014"	36	4163723	0.9
	"15 years"	"15"	"2015"	"2015"	37	4249742	0.9
	"15 years"	"15"	"2016"	"2016"	29	4196991	0.7
	"15 years"	"15"	"2017"	"2017"	32	4114560	0.8
	"15 years"	"15"	"2018"	"2018"	42	4141218	1.0
	"15 years"	"15"	"2019"	"2019"	49	4175459	1.2
	"15 years"	"15"	"2020 "	"2020"	85	4175920	2.0
	"16 years"	"16"	"1999"	"1999"	33	4020305	0.8
	"16 years"	"16"	"2000"	"2000"	53	3975021	1.3
	"16 years"	"16"	"2001"	"2001"	68	4108304	1.7
	"16 years"	"16"	"2002"	"2002"	60	4126961	1.5
	"16 years"	"16"	"2003"	"2003"	78	4139141	1.9
	"16 years"	"16"	"2004"	"2004"	64	4213762	1.5
	"16 years"	"16"	"2005"	"2005"	76	4308145	1.8
	"16 years"	"16"	"2006"	"2006"	106	4502997	2.4
