"Notes"	"Single-Year Ages"	"Single-Year Ages Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"9 years"	"9"	"2019"	"2019"	10	4061874	Unreliable
	"9 years"	"9"	"2020"	"2020"	14	4078668	Unreliable
	"10 years"	"10"	"2018"	"2018"	21	4184077	0.5
	"10 years"	"10"	"2019"	"2019"	17	4060940	Unreliable
	"10 years"	"10"	"2020"	"2020"	25	4074173	0.6
	"10 years"	"10"	"2021"	"2021"	21	4103489	0.5
	"11 years"	"11"	"2018"	"2018"	54	4203007	1.3
	"11 years"	"11"	"2019"	"2019"	37	4189261	0.9
	"11 years"	"11"	"2020"	"2020"	42	4072994	1.0
	"11 years"	"11"	"2021"	"2021"	48	4189406	1.1
	"11 years"	"11"	"2022 (provisional)"	"2022"	27	4189406	0.6
	"12 years"	"12"	"2018"	"2018"	101	4168485	2.4
	"12 years"	"12"	"2019"	"2019"	98	4208387	2.3
	"12 years"	"12"	"2020"	"2020"	93	4200977	2.2
	"12 years"	"12"	"2021"	"2021"	108	4279315	2.5
	"12 years"	"12"	"2022 (provisional)"	"2022"	84	4279315	2.0
	"13 years"	"13"	"2018"	"2018"	164	4156887	3.9
	"13 years"	"13"	"2019"	"2019"	174	4175221	4.2
	"13 years"	"13"	"2020"	"2020"	172	4219921	4.1
	"13 years"	"13"	"2021"	"2021"	158	4442581	3.6
	"13 years"	"13"	"2022 (provisional)"	"2022"	149	4442581	3.4
	"14 years"	"14"	"2018"	"2018"	256	4167071	6.1
	"14 years"	"14"	"2019"	"2019"	208	4164459	5.0
	"14 years"	"14"	"2020"	"2020"	249	4186358	5.9
	"14 years"	"14"	"2021"	"2021"	263	4432993	5.9
	"14 years"	"14"	"2022 (provisional)"	"2022"	225	4432993	5.1
	"15 years"	"15"	"2018"	"2018"	360	4141218	8.7
	"15 years"	"15"	"2019"	"2019"	285	4175459	6.8
	"15 years"	"15"	"2020"	"2020"	323	4175920	7.7
	"15 years"	"15"	"2021"	"2021"	318	4355926	7.3
	"15 years"	"15"	"2022 (provisional)"	"2022"	293	4355926	6.7
	"16 years"	"16"	"2018"	"2018"	402	4130744	9.7
	"16 years"	"16"	"2019"	"2019"	382	4150420	9.2
	"16 years"	"16"	"2020"	"2020"	384	4187874	9.2
	"16 years"	"16"	"2021"	"2021"	389	4310462	9.0
	"16 years"	"16"	"2022 (provisional)"	"2022"	364	4310462	8.4
	"17 years"	"17"	"2018"	"2018"	467	4241936	11.0
	"17 years"	"17"	"2019"	"2019"	433	4142425	10.5
	"17 years"	"17"	"2020"	"2020"	371	4164893	8.9
	"17 years"	"17"	"2021"	"2021"	453	4333375	10.5
	"17 years"	"17"	"2022 (provisional)"	"2022"	424	4333375	9.8
	"18 years"	"18"	"2018"	"2018"	554	4319722	12.8
	"18 years"	"18"	"2019"	"2019"	510	4255827	12.0
	"18 years"	"18"	"2020"	"2020"	498	4159857	12.0
	"18 years"	"18"	"2021"	"2021"	529	4292780	12.3
	"18 years"	"18"	"2022 (provisional)"	"2022"	516	4292780	12.0
	"19 years"	"19"	"2018"	"2018"	621	4263601	14.6
	"19 years"	"19"	"2019"	"2019"	600	4330439	13.9
	"19 years"	"19"	"2020"	"2020"	640	4272385	15.0
	"19 years"	"19"	"2021"	"2021"	654	4272123	15.3
	"19 years"	"19"	"2022 (provisional)"	"2022"	564	4272123	13.2
	"20 years"	"20"	"2018"	"2018"	623	4273822	14.6
	"20 years"	"20"	"2019"	"2019"	613	4269683	14.4
	"20 years"	"20"	"2020"	"2020"	612	4344572	14.1
	"20 years"	"20"	"2021"	"2021"	710	4346679	16.3
